,DATA_W0,DATA_W1,DATA_W2,BUS_W,DATA_T0,DATA_T1,DATA_T2,K_T,LAYER_IN_H_T,LAYER_IN_W_T,LAYER_OUT_H_T,LAYER_OUT_W_T,LAYER_IN_NUM_T,LAYER_OUT_NUM_T,SIMD_FACTOR
0,32,32,32,512,float,float,float,3,2,2,2,2,8,8,8
1,32,32,32,512,float,float,float,3,2,2,2,2,16,16,8
2,32,32,32,512,float,float,float,3,2,2,2,2,24,24,8
3,32,32,32,512,float,float,float,3,2,2,2,2,32,32,8
4,32,32,32,512,float,float,float,3,2,2,2,2,40,40,8
5,32,32,32,512,float,float,float,3,2,2,2,2,48,48,8
6,32,32,32,512,float,float,float,3,2,2,2,2,56,56,8
7,32,32,32,512,float,float,float,3,2,2,2,2,64,64,8
8,32,32,32,512,float,float,float,3,2,4,2,4,8,8,8
9,32,32,32,512,float,float,float,3,2,4,2,4,16,16,8
10,32,32,32,512,float,float,float,3,2,4,2,4,24,24,8
11,32,32,32,512,float,float,float,3,2,4,2,4,32,32,8
12,32,32,32,512,float,float,float,3,2,4,2,4,40,40,8
13,32,32,32,512,float,float,float,3,2,4,2,4,48,48,8
14,32,32,32,512,float,float,float,3,2,4,2,4,56,56,8
15,32,32,32,512,float,float,float,3,2,4,2,4,64,64,8
16,32,32,32,512,float,float,float,3,2,6,2,6,8,8,8
17,32,32,32,512,float,float,float,3,2,6,2,6,16,16,8
18,32,32,32,512,float,float,float,3,2,6,2,6,24,24,8
19,32,32,32,512,float,float,float,3,2,6,2,6,32,32,8
20,32,32,32,512,float,float,float,3,2,6,2,6,40,40,8
21,32,32,32,512,float,float,float,3,2,6,2,6,48,48,8
22,32,32,32,512,float,float,float,3,2,6,2,6,56,56,8
23,32,32,32,512,float,float,float,3,2,6,2,6,64,64,8
24,32,32,32,512,float,float,float,3,2,8,2,8,8,8,8
25,32,32,32,512,float,float,float,3,2,8,2,8,16,16,8
26,32,32,32,512,float,float,float,3,2,8,2,8,24,24,8
27,32,32,32,512,float,float,float,3,2,8,2,8,32,32,8
28,32,32,32,512,float,float,float,3,2,8,2,8,40,40,8
29,32,32,32,512,float,float,float,3,2,8,2,8,48,48,8
30,32,32,32,512,float,float,float,3,2,8,2,8,56,56,8
31,32,32,32,512,float,float,float,3,2,8,2,8,64,64,8
32,32,32,32,512,float,float,float,3,2,12,2,12,8,8,8
33,32,32,32,512,float,float,float,3,2,12,2,12,16,16,8
34,32,32,32,512,float,float,float,3,2,12,2,12,24,24,8
35,32,32,32,512,float,float,float,3,2,12,2,12,32,32,8
36,32,32,32,512,float,float,float,3,2,12,2,12,40,40,8
37,32,32,32,512,float,float,float,3,2,12,2,12,48,48,8
38,32,32,32,512,float,float,float,3,2,12,2,12,56,56,8
39,32,32,32,512,float,float,float,3,2,12,2,12,64,64,8
40,32,32,32,512,float,float,float,3,2,16,2,16,8,8,8
41,32,32,32,512,float,float,float,3,2,16,2,16,16,16,8
42,32,32,32,512,float,float,float,3,2,16,2,16,24,24,8
43,32,32,32,512,float,float,float,3,2,16,2,16,32,32,8
44,32,32,32,512,float,float,float,3,2,16,2,16,40,40,8
45,32,32,32,512,float,float,float,3,2,16,2,16,48,48,8
46,32,32,32,512,float,float,float,3,2,16,2,16,56,56,8
47,32,32,32,512,float,float,float,3,2,16,2,16,64,64,8
48,32,32,32,512,float,float,float,3,2,24,2,24,8,8,8
49,32,32,32,512,float,float,float,3,2,24,2,24,16,16,8
50,32,32,32,512,float,float,float,3,2,24,2,24,24,24,8
51,32,32,32,512,float,float,float,3,2,24,2,24,32,32,8
52,32,32,32,512,float,float,float,3,2,24,2,24,40,40,8
53,32,32,32,512,float,float,float,3,2,24,2,24,48,48,8
54,32,32,32,512,float,float,float,3,2,24,2,24,56,56,8
55,32,32,32,512,float,float,float,3,2,24,2,24,64,64,8
56,32,32,32,512,float,float,float,3,2,32,2,32,8,8,8
57,32,32,32,512,float,float,float,3,2,32,2,32,16,16,8
58,32,32,32,512,float,float,float,3,2,32,2,32,24,24,8
59,32,32,32,512,float,float,float,3,2,32,2,32,32,32,8
60,32,32,32,512,float,float,float,3,2,32,2,32,40,40,8
61,32,32,32,512,float,float,float,3,2,32,2,32,48,48,8
62,32,32,32,512,float,float,float,3,2,32,2,32,56,56,8
63,32,32,32,512,float,float,float,3,2,32,2,32,64,64,8
64,32,32,32,512,float,float,float,3,2,48,2,48,8,8,8
65,32,32,32,512,float,float,float,3,2,48,2,48,16,16,8
66,32,32,32,512,float,float,float,3,2,48,2,48,24,24,8
67,32,32,32,512,float,float,float,3,2,48,2,48,32,32,8
68,32,32,32,512,float,float,float,3,2,48,2,48,40,40,8
69,32,32,32,512,float,float,float,3,2,48,2,48,48,48,8
70,32,32,32,512,float,float,float,3,2,48,2,48,56,56,8
71,32,32,32,512,float,float,float,3,2,48,2,48,64,64,8
72,32,32,32,512,float,float,float,3,2,64,2,64,8,8,8
73,32,32,32,512,float,float,float,3,2,64,2,64,16,16,8
74,32,32,32,512,float,float,float,3,2,64,2,64,24,24,8
75,32,32,32,512,float,float,float,3,2,64,2,64,32,32,8
76,32,32,32,512,float,float,float,3,2,64,2,64,40,40,8
77,32,32,32,512,float,float,float,3,2,64,2,64,48,48,8
78,32,32,32,512,float,float,float,3,2,64,2,64,56,56,8
79,32,32,32,512,float,float,float,3,2,64,2,64,64,64,8
80,32,32,32,512,float,float,float,3,2,96,2,96,8,8,8
81,32,32,32,512,float,float,float,3,2,96,2,96,16,16,8
82,32,32,32,512,float,float,float,3,2,96,2,96,24,24,8
83,32,32,32,512,float,float,float,3,2,96,2,96,32,32,8
84,32,32,32,512,float,float,float,3,2,96,2,96,40,40,8
85,32,32,32,512,float,float,float,3,2,96,2,96,48,48,8
86,32,32,32,512,float,float,float,3,2,96,2,96,56,56,8
87,32,32,32,512,float,float,float,3,2,96,2,96,64,64,8
88,32,32,32,512,float,float,float,3,4,2,4,2,8,8,8
89,32,32,32,512,float,float,float,3,4,2,4,2,16,16,8
90,32,32,32,512,float,float,float,3,4,2,4,2,24,24,8
91,32,32,32,512,float,float,float,3,4,2,4,2,32,32,8
92,32,32,32,512,float,float,float,3,4,2,4,2,40,40,8
93,32,32,32,512,float,float,float,3,4,2,4,2,48,48,8
94,32,32,32,512,float,float,float,3,4,2,4,2,56,56,8
95,32,32,32,512,float,float,float,3,4,2,4,2,64,64,8
96,32,32,32,512,float,float,float,3,4,4,4,4,8,8,8
97,32,32,32,512,float,float,float,3,4,4,4,4,16,16,8
98,32,32,32,512,float,float,float,3,4,4,4,4,24,24,8
99,32,32,32,512,float,float,float,3,4,4,4,4,32,32,8
100,32,32,32,512,float,float,float,3,4,4,4,4,40,40,8
101,32,32,32,512,float,float,float,3,4,4,4,4,48,48,8
102,32,32,32,512,float,float,float,3,4,4,4,4,56,56,8
103,32,32,32,512,float,float,float,3,4,4,4,4,64,64,8
104,32,32,32,512,float,float,float,3,4,6,4,6,8,8,8
105,32,32,32,512,float,float,float,3,4,6,4,6,16,16,8
106,32,32,32,512,float,float,float,3,4,6,4,6,24,24,8
107,32,32,32,512,float,float,float,3,4,6,4,6,32,32,8
108,32,32,32,512,float,float,float,3,4,6,4,6,40,40,8
109,32,32,32,512,float,float,float,3,4,6,4,6,48,48,8
110,32,32,32,512,float,float,float,3,4,6,4,6,56,56,8
111,32,32,32,512,float,float,float,3,4,6,4,6,64,64,8
112,32,32,32,512,float,float,float,3,4,8,4,8,8,8,8
113,32,32,32,512,float,float,float,3,4,8,4,8,16,16,8
114,32,32,32,512,float,float,float,3,4,8,4,8,24,24,8
115,32,32,32,512,float,float,float,3,4,8,4,8,32,32,8
116,32,32,32,512,float,float,float,3,4,8,4,8,40,40,8
117,32,32,32,512,float,float,float,3,4,8,4,8,48,48,8
118,32,32,32,512,float,float,float,3,4,8,4,8,56,56,8
119,32,32,32,512,float,float,float,3,4,8,4,8,64,64,8
120,32,32,32,512,float,float,float,3,4,12,4,12,8,8,8
121,32,32,32,512,float,float,float,3,4,12,4,12,16,16,8
122,32,32,32,512,float,float,float,3,4,12,4,12,24,24,8
123,32,32,32,512,float,float,float,3,4,12,4,12,32,32,8
124,32,32,32,512,float,float,float,3,4,12,4,12,40,40,8
125,32,32,32,512,float,float,float,3,4,12,4,12,48,48,8
126,32,32,32,512,float,float,float,3,4,12,4,12,56,56,8
127,32,32,32,512,float,float,float,3,4,12,4,12,64,64,8
128,32,32,32,512,float,float,float,3,4,16,4,16,8,8,8
129,32,32,32,512,float,float,float,3,4,16,4,16,16,16,8
130,32,32,32,512,float,float,float,3,4,16,4,16,24,24,8
131,32,32,32,512,float,float,float,3,4,16,4,16,32,32,8
